signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_30966	0.4137455003	1.500845366e-11	245	CHEMBL1474387	LSM-42951	NPSR1	10uM	MCF7	24h	LINCSCP_30966
LINCSCP_61826	0.413706209	1.508152354e-11	245	BRD-K77831863	LSM-13189	NA	5uM	VCAP	24h	LINCSCP_61826
LINCSCP_21586	0.4136840385	1.512290683e-11	245	CYTO7H11	LSM-4351	BAX	10uM	HEPG2	6h	LINCSCP_21586
LINCSCP_68251	0.4136596999	1.516846405e-11	245	Wortmannin	LSM-3947	PIK3CA|PIK3CG|PLK1	10uM	SW620	6h	LINCSCP_68251
LINCSCP_81422	0.4136575916	1.517241676e-11	245	Mitoxantrone	LSM-2481	TOP2A	0.12uM	A549	24h	LINCSCP_81422
LINCSCP_67598	0.4136121942	1.525777106e-11	245	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	MCF7	24h	LINCSCP_67598
LINCSCP_99363	0.4136064989	1.5268512e-11	245	Neratinib	LSM-42778	EGFR|ERBB2|ERBB4	0.37uM	HCC515	24h	LINCSCP_99363
LINCSCP_41960	0.4136056387	1.527013495e-11	245	MLS001207806	LSM-43094	NA	10uM	NOMO1	24h	LINCSCP_41960
LINCSCP_15438	0.4135730179	1.533180418e-11	245	Tozasertib	LSM-1021	ABL1|AURKA|AURKB|AURKC|BCR|FLT3|JAK2	10uM	HA1E	24h	LINCSCP_15438
LINCSCP_116791	0.4135330727	1.540765037e-11	245	EX-8678	LSM-1147	NA	0.12uM	HT29	24h	LINCSCP_116791
LINCSCP_55671	0.4135174493	1.543741456e-11	245	T 98475	LSM-3382	GNRHR	10uM	VCAP	24h	LINCSCP_55671
LINCSCP_34293	0.4135069335	1.545747982e-11	245	Hycanthone	LSM-5614	NA	10uM	MCF7	24h	LINCSCP_34293
LINCSCP_26489	0.4134945546	1.548113261e-11	245	Deforolimus	LSM-43190	MTOR	10uM	HT29	6h	LINCSCP_26489
LINCSCP_56778	0.4134760601	1.551653616e-11	245	4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione	LSM-6189	TOP1	0.5uM	VCAP	24h	LINCSCP_56778
LINCSCP_114797	0.4134753043	1.551798456e-11	245	Dasatinib	LSM-1020	ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1	0.12uM	HS578T	24h	LINCSCP_114797
LINCSCP_128419	0.413456335	1.555438238e-11	245	AZ628	LSM-1050	BRAF|RAF1	10uM	HUVEC	24h	LINCSCP_128419
LINCSCP_66521	0.4134460522	1.557414726e-11	245	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	A549	6h	LINCSCP_66521
LINCSCP_144615	0.4134392726	1.558719197e-11	245	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.12uM	MDAMB231	24h	LINCSCP_144615
LINCSCP_74286	0.4134273859	1.561008902e-11	245	CX-5461	LSM-6342	NA	3.33uM	A375	24h	LINCSCP_74286
LINCSCP_9219	0.4134259209	1.561291339e-11	245	Tozasertib	LSM-1021	ABL1|AURKA|AURKB|AURKC|BCR|FLT3|JAK2	0.5uM	A549	24h	LINCSCP_9219
LINCSCP_3758	0.4133959408	1.567081884e-11	245	COL-3	LSM-36908	NA	3uM	A375	24h	LINCSCP_3758
LINCSCP_32238	0.4133941069	1.567436783e-11	245	CHEMBL2135417	LSM-41352	NA	10uM	MCF7	24h	LINCSCP_32238
LINCSCP_12943	0.4133879809	1.568622826e-11	245	PP-30	LSM-6238	RAF1	10uM	EFO27	6h	LINCSCP_12943
LINCSCP_99669	0.4133754811	1.571045596e-11	245	WH-4-025	LSM-44937	NA	0.37uM	HCC515	24h	LINCSCP_99669
LINCSCP_1028	0.4133686685	1.572367582e-11	245	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	A375	6h	LINCSCP_1028
LINCSCP_17952	0.413356362	1.574758423e-11	245	H89	LSM-42924	PRKACA	10uM	HCC515	24h	LINCSCP_17952
LINCSCP_145353	0.4133396608	1.578008685e-11	245	BI-2536	LSM-1041	PLK1	3.33uM	MDAMB231	24h	LINCSCP_145353
LINCSCP_9224	0.4133394121	1.578057125e-11	245	AZD-1152-HQPA	LSM-1067	AURKA|AURKB	10uM	A549	24h	LINCSCP_9224
LINCSCP_47101	0.4133245742	1.580950324e-11	245	BRD-K31856043	LSM-39013	NA	10uM	PC3	24h	LINCSCP_47101
LINCSCP_46829	0.4133160277	1.582619131e-11	245	Crizotinib	LSM-1027	ALK|MET	10uM	PC3	24h	LINCSCP_46829
LINCSCP_160265	0.4132848813	1.588715337e-11	245	Pitavastatin Calcium	LSM-45806	HMGCR	0.37uM	PC3	24h	LINCSCP_160265
LINCSCP_100733	0.4132507287	1.595426207e-11	245	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.37uM	HCC515	24h	LINCSCP_100733
LINCSCP_671	0.4132453518	1.596485254e-11	245	Amiodarone	LSM-2379	KCNH2	10uM	A375	24h	LINCSCP_671
