signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_33318	0.7013211648	0.01103895962	12	SPBIO_002561	LSM-2031	CHRNA2|HTR3A	10uM	MCF7	24h	LINCSCP_33318
LINCSCP_149811	-0.701307043	0.01104127697	12	Quizartinib	LSM-1037	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	10uM	NPC.TAK	24h	LINCSCP_149811
LINCSCP_86882	0.7012673323	0.01104779526	12	Sirolimus	LSM-42783	FKBP1A|MTOR	10uM	CD34	24h	LINCSCP_86882
LINCSCP_116	-0.7012567486	0.01104953299	12	Clemastine	LSM-2655	HRH1	10uM	A375	6h	LINCSCP_116
LINCSCP_36644	0.7012461915	0.01105126656	12	THZ-2-98-01	LSM-45329	NA	0.5uM	MCF7	6h	LINCSCP_36644
LINCSCP_45696	-0.7012237473	0.01105495279	12	F1396-0210	LSM-2879	NA	10uM	PC3	24h	LINCSCP_45696
LINCSCP_161600	-0.7011884617	0.01106074991	12	Dequalinium	LSM-5846	NA	10uM	PC3	24h	LINCSCP_161600
LINCSCP_132587	-0.7011878615	0.01106084855	12	GSK-3 Inhibitor IX	LSM-42780	NA	10uM	MCF7	24h	LINCSCP_132587
LINCSCP_75520	0.7011774356	0.01106256187	12	Protriptyline	LSM-2936	SLC6A2|SLC6A4	1.11uM	A375	24h	LINCSCP_75520
LINCSCP_207512	0.701132959	0.0110698731	12	3-Methylcholanthrene	LSM-5711	AHR	10uM	FIBRNPC	24h	LINCSCP_207512
LINCSCP_48934	-0.7011083153	0.01107392567	12	BRD-K19870323	LSM-38335	NA	10uM	PC3	24h	LINCSCP_48934
LINCSCP_128204	0.7011011116	0.01107511051	12	GSK 1059615	LSM-42799	PIK3CA|PIK3CB|PIK3CD|PIK3CG	0.12uM	HUES3	24h	LINCSCP_128204
LINCSCP_21598	0.7010937331	0.01107632419	12	Quinacrine	LSM-1577	TP53	10uM	HEPG2	6h	LINCSCP_21598
LINCSCP_139376	0.7010508085	0.01108338675	12	Milciclib (PHA-848125)	LSM-45577	CDK1|CDK2|CDK4|NTRK1	1.11uM	MCF7	24h	LINCSCP_139376
