sig_id	x	y	DBSCAN-clustering	KMeans-clustering	p-value	Cell	Dose	Perturbation_ID	Time	Perturbation	EHR_Coprescribed_Drugs	EHR_Diagnoses	Phase	MOA	rings	scaffolds	n_rings	n_scaffolds	predicted_MOA	R2_Score	Batch	Scores
CPC019_HT29_6H:BRD-K34092011-001-01-7:10	-2.4019715347	-3.0131324072	0	3	0.0	HT29	10.0	BRD-K34092011	6.0	BRD-K34092011	unknown	unknown	unknown	unknown	O1c2ccccc2CNCCC1	c1ccc(cc1)NCc2ccccc2	2.0	6.0	topoisomerase inhibitor	0.3932750151	CPC019	-0.0172413793
CPC010_PC3_6H:BRD-K54168141-001-05-4:10	-1.4930553062	1.7184893284	0	16	0.0004	PC3	10.0	BRD-K54168141	6.0	BRD-K54168141	unknown	unknown	unknown	unknown	n1cnc2ccccc2c1	n1cnc2ccc(cc2c1)-c3ccccc3	2.0	3.0	PI3K inhibitor	0.248778073	CPC010	-0.0172413793
CPC005_HA1E_24H:BRD-A37780065-001-03-7:10	-1.6390548575	0.6485989602	0	10	0.0091	HA1E	10.0	BRD-A37780065	24.0	triamcinolone	IOHEXOL	Contact dermatitis and other eczema, unspecified cause	Launched	glucocorticoid receptor agonist	C1=CC2C(=CC1)CCC3C2CCC4CCCC43	unknown	1.0	0.0	glucocorticoid receptor agonist	0.5736094712	CPC005	0.0689655172
CPC018_A375_6H:BRD-K39965020-001-03-4:10	9.4827969977	1.3124736413	0	1	0.0	A375	10.0	BRD-K39965020	6.0	doconexent	unknown	unknown	Launched	PPAR receptor agonist	unknown	unknown	0.0	0.0	HDAC inhibitor	0.0306820039	CPC018	-0.0344827586
CPC009_HA1E_6H:BRD-K56593336-001-05-6:10	1.8092471633	1.3610062715	0	15	0.0	HA1E	10.0	BRD-K56593336	6.0	BRD-K56593336	unknown	unknown	unknown	unknown	n1cnc2sccc2c1	N1=N[N]C(=N1)Sc2ncnc3sccc32	2.0	3.0	cyclooxygenase inhibitor	0.2084003992	CPC009	0.0172413793
CPC018_HT29_6H:BRD-K37392901-003-01-7:10	7.9386065003	1.2354050682	0	1	0.0	HT29	10.0	BRD-K37392901	6.0	NSC-632839	unknown	unknown	Preclinical	ubiquitin specific protease inhibitor	c1ccccc1	c1ccc(cc1)C=C2CNCCC2	2.0	2.0	HSP inhibitor	0.1472892484	CPC018	-0.2413793103
CPC006_VCAP_24H:BRD-K56301217-001-01-7:11.1	0.5696658819	-0.9131338393	0	26	0.0	VCAP	11.1	BRD-K56301217	24.0	ABT-737	unknown	unknown	Phase 1/Phase 2	BCL inhibitor	c1ccccc1	c1ccc(cc1)-c2ccccc2	2.0	15.0	dopamine receptor antagonist	0.2715839009	CPC006	0.0172413793
CPC018_A549_24H:BRD-K44067360-001-16-2:10	-0.7537375529	2.1009319191	0	16	0.0	A549	10.0	BRD-K44067360	24.0	flufenamic-acid	unknown	unknown	Preclinical	chloride channel blocker	c1ccccc1	c1ccc(cc1)Nc2ccccc2	1.0	1.0	cyclooxygenase inhibitor	0.0958748658	CPC018	-0.0689655172
CPC013_VCAP_24H:BRD-K29905972-001-03-0:10	-5.6514120507	-1.9808584991	-1	19	0.0007	VCAP	10.0	BRD-K29905972	24.0	axitinib	unknown	Malignant neoplasm of kidney, except pelvis	Launched	PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor	c1ccccc1	N=1[N]c2cc(Sc3ccccc3)ccc2C1	3.0	3.0	PARP inhibitor	-0.2265558123	CPC013	0.0
CPC006_HA1E_6H:BRD-A67788537-001-01-7:120	1.8710854198	1.3950586952	0	15	0.0	HA1E	120.0	BRD-A67788537	6.0	salermide	unknown	unknown	unknown	unknown	c1ccccc1	c1ccc(cc1)NCCc2ccccc2	2.0	3.0	EGFR inhibitor	0.1924785903	CPC006	0.0517241379
CPC019_PC3_6H:BRD-K57678861-001-01-6:10	-1.8803580365	-5.0971032844	0	29	0.0488	PC3	10.0	BRD-K57678861	6.0	BRD-K57678861	unknown	unknown	unknown	unknown	O1c2ccccc2CNCCC1	c1ccc(cc1)NCc2ccccc2	2.0	6.0	mTOR inhibitor	0.3481077482	CPC019	0.0
CPC004_HT29_6H:BRD-K60274257-001-01-1:10	-2.1667534536	-0.1748272157	0	0	0.0	HT29	10.0	BRD-K60274257	6.0	dephostatin	unknown	unknown	unknown	unknown	c1ccccc1	unknown	1.0	0.0	cyclooxygenase inhibitor	0.1627151383	CPC004	-0.0172413793
CPC011_PC3_24H:BRD-K84036904-001-05-4:10	-8.5096272566	-5.8755932066	6	7	0.0	PC3	10.0	BRD-K84036904	24.0	testosterone	TADALAFIL	Other testicular hypofunction	Launched	aromatase inhibitor	C1=C2CCC3C(CCC4CCCC43)C2CCC1	unknown	1.0	0.0	glucocorticoid receptor agonist	0.3608391263	CPC011	0.0172413793
CPC017_HEPG2_6H:BRD-A62336480-001-02-5:10	4.4851987258	-1.9035930115	0	5	0.0	HEPG2	10.0	BRD-A62336480	6.0	niguldipine	unknown	unknown	unknown	unknown	c1ccccc1	c1ccc(cc1)C2CCNCC2	2.0	8.0	calcium channel blocker	0.259108804	CPC017	-0.2586206897
MUC.CP004_MCF7_24H:BRD-K09638361-001-01-4:3.3333	-6.6799859559	-4.2081739876	-1	19	0.0411	MCF7	3.3333	BRD-K09638361	24.0	SA-63133	unknown	unknown	Preclinical	casein kinase inhibitor	c1ccccc1	c1ccc(cc1)C=C2c3ccccc3NC2	2.0	1.0	cyclooxygenase inhibitor	0.1333417099	MUC.CP004	0.0517241379
CPC020_HT29_6H:BRD-K82216340-001-19-7:10	-0.3688670374	-1.749391316	0	18	0.0042	HT29	10.0	BRD-K82216340	6.0	medroxyprogesterone	LEVONORGESTREL	Surveillance of other contraceptive method	Launched	progesterone receptor agonist	C1=C2CCC3C(CCC4CCCC43)C2CCC1	unknown	1.0	0.0	glucocorticoid receptor agonist	0.4143225681	CPC020	0.0172413793
CPC013_ASC_24H:BRD-K51967704-001-01-0:10	-2.8231128249	2.0453335601	0	16	0.0	ASC	10.0	BRD-K51967704	24.0	BIIB021	unknown	unknown	Phase 2	HSP inhibitor	n1ccccc1	n1cnc2c(ncn2Cc3ncccc3)c1	2.0	1.0	EGFR inhibitor	0.1897193603	CPC013	0.1034482759
CPC006_A375_6H:BRD-K07303502-001-02-5:80	6.0622849904	3.1868870464	0	12	0.0	A375	80.0	BRD-K07303502	6.0	arachidonyl-trifluoro-methane	unknown	unknown	unknown	unknown	unknown	unknown	0.0	0.0	HDAC inhibitor	0.1579581061	CPC006	-0.0344827586
ASG001_MCF7_6H:BRD-K71879491-001-17-6:2	-0.3241994333	-8.1229351744	17	22	0.0	MCF7	2.0	BRD-K71879491	6.0	tretinoin	BENZOYL PEROXIDE	Other chronic dermatitis due to solar radiation	Launched	retinoid receptor agonist, retinoid receptor ligand	C1=CCCCC1	unknown	1.0	0.0	retinoid receptor agonist	0.05533285	ASG001	-0.0172413793
CPC004_VCAP_6H:BRD-A18917088-001-03-1:10	-9.9407362129	-1.5556486134	7	14	0.0	VCAP	10.0	BRD-A18917088	6.0	estradiol	PROGESTERONE	Postmenopausal atrophic vaginitis	Launched	estrogen receptor agonist	c1ccc2c(c1)CCC3C2CCC4CCCC43	unknown	1.0	0.0	estrogen receptor agonist	0.1936242993	CPC004	0.0172413793
CPC008_VCAP_6H:BRD-K67619794-001-01-0:10	-1.3855218431	-0.9850350727	0	0	0.0007	VCAP	10.0	BRD-K67619794	6.0	BRD-K67619794	unknown	unknown	unknown	unknown	c1ccccc1	c1ccc(cc1)NCc2ccccc2	1.0	1.0	retinoid receptor agonist	-0.0428639535	CPC008	0.0172413793
CPC006_NCIH2073_6H:BRD-A93255169-001-13-5:10	-4.8802580338	0.592342989	10	6	0.0048	NCIH2073	10.0	BRD-A93255169	6.0	thalidomide	PAMIDRONATE	Encounter for chemotherapy and immunotherapy for neoplastic conditions	Launched	tumor necrosis factor production inhibitor	c1ccc2c(c1)CNC2	c1ccc2c(c1)CN(C2)C3CNCCC3	2.0	1.0	cyclooxygenase inhibitor	0.0301963165	CPC006	0.0517241379
CPC014_PC3_24H:BRD-K01436366-001-02-4:10	-3.6162931761	-5.4927673708	15	29	0.0	PC3	10.0	BRD-K01436366	24.0	XMD-1150	unknown	unknown	Preclinical	leucine rich repeat kinase inhibitor	c1ccccc1	c1ccc(cc1)CN2CCCCC2	4.0	6.0	PLK inhibitor	0.1795644706	CPC014	0.0344827586
CPC010_MCF7_6H:BRD-A37735495-001-10-6:10	8.6577638308	2.2205042328	0	1	0.0007	MCF7	10.0	BRD-A37735495	6.0	BRD-A37735495	unknown	unknown	unknown	unknown	C1CCCCC1	n1cccc(c1)CNc2ccccc2	2.0	4.0	PARP inhibitor	0.1256280293	CPC010	-0.0862068966
CPC006_VCAP_24H:BRD-K96354014-001-09-6:10	-2.3050243935	1.1190027905	0	21	0.0077	VCAP	10.0	BRD-K96354014	24.0	nifedipine	LABETALOL	Hypertensive chronic kidney disease, unspecified	Launched	calcium channel blocker	c1ccccc1	c1ccc(cc1)C2C=CNC=C2	2.0	1.0	calcium channel blocker	0.0656158611	CPC006	-0.1379310345
CPC017_ASC_24H:BRD-K14618467-003-01-8:10	-1.6391949497	-1.1967235204	0	0	0.0	ASC	10.0	BRD-K14618467	24.0	IKK-16	unknown	unknown	Preclinical	IKK inhibitor	n1cnccc1	n1cccnc1Nc2ccccc2	4.0	10.0	dopamine receptor antagonist	0.2465877361	CPC017	0.0
CPC006_SKMEL1_6H:BRD-K57080016-001-04-3:80	-1.6798560097	-0.9356880632	0	0	0.0	SKMEL1	80.0	BRD-K57080016	6.0	selumetinib	unknown	unknown	Phase 3	MEK inhibitor	[N]1C=Nc2ccccc12	[N]1C=Nc2cc(ccc12)Nc3ccccc3	2.0	1.0	EGFR inhibitor	0.1238844002	CPC006	0.0
CPC008_PC3_24H:BRD-K88622704-001-05-9:10	-3.3150334239	-4.8652684056	0	29	0.0	PC3	10.0	BRD-K88622704	24.0	BRD-K88622704	unknown	unknown	unknown	unknown	n1cnc2ccccc2c1	n1cnc(NCc2ccccc2)c3ccccc13	2.0	3.0	MEK inhibitor	0.1793226262	CPC008	0.0517241379
