term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
KMS002_NOMO1_24H_I05_BRD-K49010888_1.11uM down	cd6e160b-4aba-4859-bb90-097afb4bf264	250	1.9113249363282404e-29	5.726483097850363e-25	4.5462284122562675	72	KMS002	NOMO1	24H	I05	BRD-K49010888	1.11uM	down
KMS002_NOMO1_24H_I04_BRD-K49010888_3.33uM down	5bc3abad-c26d-47b4-85d2-abfcc0393e87	250	1.9113249363282404e-29	5.726483097850363e-25	4.5462284122562675	72	KMS002	NOMO1	24H	I04	BRD-K49010888	3.33uM	down
REP.A011_PC3_24H_N07_PF-04691502_10uM down	39342641-3545-43b7-9888-301196089ee5	250	1.9113249363282404e-29	5.726483097850363e-25	4.5462284122562675	72	REP.A011	PC3	24H	N07	PF-04691502	10uM	down
FIBR036_MCLF137CN_6H_B18_PP-30_4uM down	b2660724-582f-49d9-8d27-7ac32dc94346	250	1.9113249363282404e-29	5.726483097850363e-25	4.5462284122562675	72	FIBR036	MCLF137CN	6H	B18	PP-30	4uM	down
CPC002_PC3_24H_A04_wortmannin_10uM down	9066a70a-d050-48fe-baab-2160ad5c918f	250	1.9113249363282404e-29	5.726483097850363e-25	4.5462284122562675	72	CPC002	PC3	24H	A04	wortmannin	10uM	down
AICHI001_THP1_4H_N16_GW-5074_0.125uM up	d4aab87d-2810-4d69-9650-204ef38c4580	250	1.9113249363282404e-29	5.726483097850363e-25	4.5462284122562675	72	AICHI001	THP1	4H	N16	GW-5074	0.125uM	up
AICHI001_THP1_4H_P17_IPI-145_0.04uM down	4d8f3dfa-8b01-40a9-979b-756b66869ea2	250	1.9113249363282404e-29	5.726483097850363e-25	4.5462284122562675	72	AICHI001	THP1	4H	P17	IPI-145	0.04uM	down
ERG005_VCAP_6H_C07_trifluoperazine_20uM down	eee7da00-722d-43d7-b13f-d5b79c25e1bf	250	1.9113249363282404e-29	5.726483097850363e-25	4.5462284122562675	72	ERG005	VCAP	6H	C07	trifluoperazine	20uM	down
DOS012_VCAP_24H_E18_wortmannin_10uM down	5d9da81c-f4d5-4099-a378-91aa53a20e46	250	1.9113249363282404e-29	5.726483097850363e-25	4.5462284122562675	72	DOS012	VCAP	24H	E18	wortmannin	10uM	down
REP.A013_HELA_24H_A23_zardaverine_0.125uM up	47e14bae-fea2-4423-8b06-b778cf3efbe8	250	1.275412328633684e-28	3.292143356989597e-24	4.483086350974931	71	REP.A013	HELA	24H	A23	zardaverine	0.125uM	up
REP.A010_HELA_24H_M01_norgestrel_10uM up	04f82fa3-7d87-443c-913e-b46d94faac5b	250	1.275412328633684e-28	3.292143356989597e-24	4.483086350974931	71	REP.A010	HELA	24H	M01	norgestrel	10uM	up
KMS002_NOMO1_24H_K09_BG-STK33-03_0.01uM up	bf1a6f5c-0c4e-4efe-89f1-ceb0ed8208b6	250	1.275412328633684e-28	3.292143356989597e-24	4.483086350974931	71	KMS002	NOMO1	24H	K09	BG-STK33-03	0.01uM	up
KMS002_NOMO1_24H_I03_BRD-K49010888_10uM down	6e308d8d-482e-40ab-a90a-4b815bcdc7f9	250	1.275412328633684e-28	3.292143356989597e-24	4.483086350974931	71	KMS002	NOMO1	24H	I03	BRD-K49010888	10uM	down
REP.B017_THP1_24H_I08_Ro-4987655_0.74uM down	40273a75-977e-40df-993d-699fcbb7218f	250	1.275412328633684e-28	3.292143356989597e-24	4.483086350974931	71	REP.B017	THP1	24H	I08	Ro-4987655	0.74uM	down
REP.A006_PC3_24H_N20_GDC-0980_3.33uM down	f79cff48-72e2-4c8f-908e-cdf76fe78c98	250	1.275412328633684e-28	3.292143356989597e-24	4.483086350974931	71	REP.A006	PC3	24H	N20	GDC-0980	3.33uM	down
KMS002_THP1_24H_F03_MW-STK33-1C_10uM down	4dcaf838-a7db-401c-a7bd-a018e9149e1f	250	1.275412328633684e-28	3.292143356989597e-24	4.483086350974931	71	KMS002	THP1	24H	F03	MW-STK33-1C	10uM	down
CPC004_PC3_24H_J24_simvastatin_10uM down	0cc91e5c-4070-45c2-a931-dbb3e4229e10	250	1.275412328633684e-28	3.292143356989597e-24	4.483086350974931	71	CPC004	PC3	24H	J24	simvastatin	10uM	down
AICHI001_THP1_4H_F19_midostaurin_10uM down	eab569b8-41d8-4397-8824-1c91b04313d4	250	1.275412328633684e-28	3.292143356989597e-24	4.483086350974931	71	AICHI001	THP1	4H	F19	midostaurin	10uM	down
